127.0.0.1 - - [01/Dec/2016:15:12:05 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:12:11 +0800] "GET /bank/index.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:12:11 +0800] "GET /bank/css/login.css HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:12:38 +0800] "GET /bank/index.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:12:38 +0800] "GET /bank/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:13:47 +0800] "POST /bank/index.jsp HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:13:49 +0800] "POST /bank/admin.jsp HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:13:49 +0800] "GET /bank/css/admin.css HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:14:02 +0800] "POST /bank/index.jsp HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:14:05 +0800] "POST /bank/admin.jsp HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:14:05 +0800] "GET /bank/css/admin.css HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:14:31 +0800] "POST /bank/index.jsp HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:14:33 +0800] "POST /bank/admin.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [01/Dec/2016:15:14:33 +0800] "GET /bank/css/admin.css HTTP/1.1" 404 987
